src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,0.3367,0.3762,0.182
5.0,5.0,25.0,-1.8278,-1.9651,-1.0743
5.0,5.0,35.0,-0.2901,-0.3212,-0.1703
5.0,5.0,45.0,-0.2154,-0.2344,-0.1287
5.0,5.0,55.0,-0.2383,-0.2592,-0.1343
5.0,5.0,65.0,-0.4779,-0.5253,-0.2665
5.0,5.0,75.0,-11.6019,-12.7559,-6.5566
5.0,5.0,85.0,0.7173,0.7893,0.4024
5.0,5.0,95.0,0.4073,0.4485,0.2326
5.0,5.0,105.0,0.3089,0.3406,0.1781
5.0,5.0,115.0,0.2612,0.2884,0.1517
5.0,5.0,125.0,0.2333,0.2579,0.1351
5.0,5.0,135.0,0.2152,0.2381,0.1231
5.0,5.0,145.0,0.2026,0.2244,0.1146
5.0,15.0,25.0,-0.4597,-0.4829,-0.2529
5.0,15.0,35.0,-0.2132,-0.235,-0.1335
5.0,15.0,45.0,-0.1833,-0.1987,-0.1129
5.0,15.0,55.0,-0.2131,-0.2312,-0.1248
5.0,15.0,65.0,-0.4266,-0.4683,-0.2471
5.0,15.0,75.0,-4.976,-5.4658,-2.8462
5.0,15.0,85.0,0.7427,0.8167,0.4225
5.0,15.0,95.0,0.4097,0.4509,0.2314
5.0,15.0,105.0,0.3087,0.3402,0.1782
5.0,15.0,115.0,0.2605,0.2875,0.1498
5.0,15.0,125.0,0.2325,0.257,0.1328
5.0,15.0,135.0,0.2144,0.2372,0.1218
5.0,15.0,145.0,0.2018,0.2235,0.1139
5.0,25.0,35.0,-0.1598,-0.179,-0.1035
5.0,25.0,45.0,-0.1575,-0.1714,-0.0966
5.0,25.0,55.0,-0.1964,-0.2136,-0.1141
5.0,25.0,65.0,-0.4257,-0.4689,-0.2503
5.0,25.0,75.0,-35.2899,-38.8513,-20.3765
5.0,25.0,85.0,0.6352,0.6997,0.3663
5.0,25.0,95.0,0.3741,0.4122,0.2156
5.0,25.0,105.0,0.2891,0.319,0.1685
5.0,25.0,115.0,0.2475,0.2734,0.1426
5.0,25.0,125.0,0.223,0.2467,0.1281
5.0,25.0,135.0,0.2071,0.2293,0.1179
5.0,25.0,145.0,0.196,0.2172,0.1103
5.0,35.0,45.0,-0.1613,-0.1707,-0.1015
5.0,35.0,55.0,-0.2161,-0.2317,-0.126
5.0,35.0,65.0,-0.6511,-0.7123,-0.3763
5.0,35.0,75.0,1.2013,1.3159,0.7179
5.0,35.0,85.0,0.4236,0.4648,0.2438
5.0,35.0,95.0,0.2976,0.3269,0.1712
5.0,35.0,105.0,0.2467,0.2716,0.1403
5.0,35.0,115.0,0.2195,0.2421,0.1242
5.0,35.0,125.0,0.2028,0.224,0.115
5.0,35.0,135.0,0.1916,0.2119,0.1079
5.0,35.0,145.0,0.1836,0.2033,0.1032
5.0,45.0,55.0,-0.3126,-0.3358,-0.185
5.0,45.0,65.0,3.384,3.7321,2.0122
5.0,45.0,75.0,0.4006,0.4412,0.2375
5.0,45.0,85.0,0.2661,0.2932,0.154
5.0,45.0,95.0,0.2214,0.244,0.1276
5.0,45.0,105.0,0.1993,0.22,0.1136
5.0,45.0,115.0,0.1863,0.2059,0.1061
5.0,45.0,125.0,0.1778,0.1968,0.102
