src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,-0.502,-0.4539,-0.3479
5.0,5.0,25.0,-0.1766,-0.1569,-0.1211
5.0,5.0,35.0,-0.9974,-0.8837,-0.6978
5.0,5.0,45.0,0.4494,0.3973,0.3147
5.0,5.0,55.0,0.2534,0.2233,0.1743
5.0,5.0,65.0,0.2025,0.178,0.1389
5.0,5.0,75.0,0.1799,0.1578,0.1253
5.0,5.0,85.0,0.1674,0.1467,0.1158
5.0,5.0,95.0,0.1597,0.1398,0.1103
5.0,5.0,105.0,0.1545,0.1352,0.1057
5.0,5.0,115.0,0.1508,0.1319,0.1035
5.0,5.0,125.0,0.1481,0.1295,0.1024
5.0,5.0,135.0,0.1461,0.1276,0.1011
5.0,5.0,145.0,0.1445,0.1262,0.0999
5.0,15.0,25.0,-0.1377,-0.1217,-0.0924
5.0,15.0,35.0,-1.2759,-1.1271,-0.8871
5.0,15.0,45.0,0.3706,0.3269,0.259
5.0,15.0,55.0,0.2288,0.2013,0.1568
5.0,15.0,65.0,0.1893,0.1662,0.1286
5.0,15.0,75.0,0.1714,0.1502,0.1174
5.0,15.0,85.0,0.1614,0.1412,0.1106
5.0,15.0,95.0,0.1551,0.1357,0.1066
5.0,15.0,105.0,0.1509,0.1319,0.1034
5.0,15.0,115.0,0.1479,0.1293,0.1015
5.0,15.0,125.0,0.1457,0.1273,0.1004
5.0,15.0,135.0,0.144,0.1258,0.0997
5.0,15.0,145.0,0.1427,0.1246,0.099
5.0,25.0,35.0,0.2647,0.2344,0.1824
5.0,25.0,45.0,0.1764,0.1556,0.1189
5.0,25.0,55.0,0.1568,0.1379,0.106
5.0,25.0,65.0,0.1488,0.1306,0.1015
5.0,25.0,75.0,0.1447,0.1267,0.0992
5.0,25.0,85.0,0.1422,0.1244,0.0983
5.0,25.0,95.0,0.1406,0.1229,0.0976
5.0,25.0,105.0,0.1394,0.1218,0.0961
5.0,25.0,115.0,0.1386,0.1211,0.0954
5.0,25.0,125.0,0.138,0.1205,0.0954
5.0,25.0,135.0,0.1375,0.1201,0.0955
5.0,25.0,145.0,0.1371,0.1197,0.0948
5.0,35.0,45.0,0.1415,0.1246,0.0952
5.0,35.0,55.0,0.1383,0.1214,0.0929
5.0,35.0,65.0,0.137,0.12,0.0923
5.0,35.0,75.0,0.1365,0.1193,0.0929
5.0,35.0,85.0,0.136,0.1189,0.0934
5.0,35.0,95.0,0.1358,0.1186,0.0932
5.0,35.0,105.0,0.1356,0.1184,0.0928
5.0,35.0,115.0,0.1354,0.1183,0.0927
5.0,35.0,125.0,0.1353,0.1181,0.0929
5.0,35.0,135.0,0.1353,0.1181,0.0931
5.0,35.0,145.0,0.1352,0.118,0.0933
5.0,45.0,55.0,0.136,0.119,0.0923
5.0,45.0,65.0,0.1356,0.1185,0.0927
5.0,45.0,75.0,0.1354,0.1182,0.0934
5.0,45.0,85.0,0.1352,0.1181,0.0931
5.0,45.0,95.0,0.1352,0.118,0.0935
5.0,45.0,105.0,0.1351,0.1179,0.0932
5.0,45.0,115.0,0.135,0.1178,0.093
5.0,45.0,125.0,0.135,0.1178,0.0931
5.0,45.0,135.0,0.135,0.1178,0.0934
5.0,45.0,145.0,0.135,0.1178,0.0936
5.0,55.0,65.0,0.1352,0.1181,0.0937
5.0,55.0,75.0,0.1352,0.1179,0.0936
5.0,55.0,85.0,0.1351,0.1178,0.0937
5.0,55.0,95.0,0.135,0.1178,0.0937
5.0,55.0,105.0,0.135,0.1178,0.0934
5.0,55.0,115.0,0.135,0.1177,0.0931
5.0,55.0,125.0,0.1349,0.1177,0.0932
5.0,55.0,135.0,0.1349,0.1177,0.0934
5.0,55.0,145.0,0.1349,0.1177,0.0936
5.0,65.0,75.0,0.1352,0.1178,0.0939
5.0,65.0,85.0,0.135,0.1177,0.0936
5.0,65.0,95.0,0.135,0.1177,0.0936
5.0,65.0,105.0,0.1349,0.1177,0.0933
5.0,65.0,115.0,0.1349,0.1177,0.093
5.0,65.0,125.0,0.1349,0.1177,0.0932
5.0,65.0,135.0,0.1349,0.1177,0.0933
5.0,65.0,145.0,0.1349,0.1177,0.0935
5.0,75.0,85.0,0.1349,0.1177,0.093
5.0,75.0,95.0,0.1349,0.1177,0.0931
5.0,75.0,105.0,0.1349,0.1177,0.0929
5.0,75.0,115.0,0.1349,0.1177,0.0926
5.0,75.0,125.0,0.1349,0.1176,0.0929
5.0,75.0,135.0,0.1349,0.1176,0.0932
5.0,75.0,145.0,0.1349,0.1176,0.0934
5.0,85.0,95.0,0.135,0.1177,0.0934
5.0,85.0,105.0,0.1349,0.1177,0.093
5.0,85.0,115.0,0.1349,0.1176,0.0926
5.0,85.0,125.0,0.1349,0.1176,0.0929
5.0,85.0,135.0,0.1349,0.1176,0.0932
5.0,85.0,145.0,0.1349,0.1176,0.0935
5.0,95.0,105.0,0.1348,0.1176,0.0931
5.0,95.0,115.0,0.1348,0.1176,0.0927
5.0,95.0,125.0,0.1348,0.1176,0.0929
5.0,95.0,135.0,0.1348,0.1176,0.0933
5.0,95.0,145.0,0.1348,0.1176,0.0932
5.0,105.0,115.0,0.1349,0.1176,0.0925
5.0,105.0,125.0,0.1348,0.1176,0.0929
5.0,105.0,135.0,0.1349,0.1176,0.0934
5.0,105.0,145.0,0.1349,0.1176,0.0932
5.0,115.0,125.0,0.1348,0.1176,0.0927
5.0,115.0,135.0,0.1349,0.1176,0.0932
5.0,115.0,145.0,0.1348,0.1176,0.0933
5.0,125.0,135.0,0.1349,0.1176,0.0935
5.0,125.0,145.0,0.1349,0.1176,0.0934
5.0,135.0,145.0,0.1348,0.1176,0.0927
15.0,15.0,25.0,-0.0852,-0.0776,-0.058
15.0,15.0,35.0,0.3658,0.3364,0.2581
15.0,15.0,45.0,0.0818,0.074,0.0556
15.0,15.0,55.0,0.0592,0.0531,0.0399
15.0,15.0,65.0,0.0516,0.046,0.0347
15.0,15.0,75.0,0.048,0.0425,0.0327
15.0,15.0,85.0,0.0459,0.0405,0.0311
15.0,15.0,95.0,0.0446,0.0392,0.0301
15.0,15.0,105.0,0.0437,0.0384,0.0294
15.0,15.0,115.0,0.043,0.0377,0.029
15.0,15.0,125.0,0.0426,0.0373,0.0289
15.0,15.0,135.0,0.0422,0.0369,0.0285
15.0,15.0,145.0,0.0419,0.0367,0.0281
15.0,25.0,35.0,0.0666,0.0621,0.0471
15.0,25.0,45.0,0.049,0.0442,0.0343
15.0,25.0,55.0,0.0446,0.0399,0.031
15.0,25.0,65.0,0.0429,0.0381,0.0292
15.0,25.0,75.0,0.0422,0.0372,0.0287
15.0,25.0,85.0,0.0416,0.0366,0.0285
15.0,25.0,95.0,0.0413,0.0363,0.0278
15.0,25.0,105.0,0.0411,0.036,0.0276
15.0,25.0,115.0,0.0409,0.0358,0.0275
15.0,25.0,125.0,0.0408,0.0357,0.0274
15.0,25.0,135.0,0.0407,0.0356,0.0273
15.0,25.0,145.0,0.0406,0.0355,0.0272
15.0,35.0,45.0,0.042,0.0369,0.0285
15.0,35.0,55.0,0.0408,0.036,0.0275
15.0,35.0,65.0,0.0405,0.0356,0.0276
15.0,35.0,75.0,0.0405,0.0354,0.0274
15.0,35.0,85.0,0.0404,0.0353,0.0271
15.0,35.0,95.0,0.0403,0.0352,0.027
15.0,35.0,105.0,0.0403,0.0352,0.0271
15.0,35.0,115.0,0.0403,0.0352,0.0269
15.0,35.0,125.0,0.0403,0.0351,0.0269
15.0,35.0,135.0,0.0402,0.0351,0.0268
15.0,35.0,145.0,0.0402,0.0351,0.0268
15.0,45.0,55.0,0.04,0.0354,0.0273
15.0,45.0,65.0,0.04,0.0352,0.0276
15.0,45.0,75.0,0.0402,0.0352,0.027
15.0,45.0,85.0,0.0402,0.0351,0.0268
15.0,45.0,95.0,0.0402,0.0351,0.0268
15.0,45.0,105.0,0.0402,0.0351,0.0267
15.0,45.0,115.0,0.0402,0.0351,0.0268
15.0,45.0,125.0,0.0402,0.035,0.0267
15.0,45.0,135.0,0.0402,0.035,0.0267
15.0,45.0,145.0,0.0402,0.035,0.0266
15.0,55.0,65.0,0.0401,0.0352,0.0272
15.0,55.0,75.0,0.0403,0.0351,0.0269
15.0,55.0,85.0,0.0402,0.0351,0.0269
15.0,55.0,95.0,0.0402,0.035,0.0269
15.0,55.0,105.0,0.0402,0.035,0.0268
15.0,55.0,115.0,0.0402,0.035,0.0268
15.0,55.0,125.0,0.0402,0.035,0.0268
15.0,55.0,135.0,0.0402,0.035,0.0268
15.0,55.0,145.0,0.0402,0.035,0.0267
15.0,65.0,75.0,0.0405,0.0351,0.027
15.0,65.0,85.0,0.0403,0.035,0.0269
15.0,65.0,95.0,0.0403,0.035,0.027
15.0,65.0,105.0,0.0402,0.035,0.0268
15.0,65.0,115.0,0.0402,0.035,0.0269
15.0,65.0,125.0,0.0402,0.035,0.0268
15.0,65.0,135.0,0.0402,0.035,0.0268
15.0,65.0,145.0,0.0402,0.035,0.0267
15.0,75.0,85.0,0.0401,0.035,0.0268
15.0,75.0,95.0,0.0402,0.035,0.0269
15.0,75.0,105.0,0.0402,0.035,0.0267
15.0,75.0,115.0,0.0402,0.035,0.0268
15.0,75.0,125.0,0.0402,0.035,0.0268
15.0,75.0,135.0,0.0402,0.035,0.0267
15.0,75.0,145.0,0.0402,0.035,0.0266
15.0,85.0,95.0,0.0403,0.035,0.0268
15.0,85.0,105.0,0.0402,0.035,0.0268
15.0,85.0,115.0,0.0402,0.035,0.0268
15.0,85.0,125.0,0.0402,0.035,0.0268
15.0,85.0,135.0,0.0402,0.035,0.0268
15.0,85.0,145.0,0.0402,0.035,0.0267
15.0,95.0,105.0,0.0401,0.035,0.0267
15.0,95.0,115.0,0.0402,0.035,0.0265
15.0,95.0,125.0,0.0402,0.035,0.0267
15.0,95.0,135.0,0.0402,0.035,0.0266
15.0,95.0,145.0,0.0402,0.035,0.0266
15.0,105.0,115.0,0.0402,0.035,0.0267
15.0,105.0,125.0,0.0402,0.035,0.0269
15.0,105.0,135.0,0.0402,0.035,0.0267
15.0,105.0,145.0,0.0402,0.035,0.0266
15.0,115.0,125.0,0.0402,0.035,0.0267
15.0,115.0,135.0,0.0402,0.035,0.0267
15.0,115.0,145.0,0.0402,0.035,0.0267
15.0,125.0,135.0,0.0402,0.035,0.0267
15.0,125.0,145.0,0.0402,0.035,0.0267
15.0,135.0,145.0,0.0402,0.035,0.0267
25.0,25.0,35.0,0.0299,0.0282,0.0212
25.0,25.0,45.0,0.0237,0.0212,0.0167
25.0,25.0,55.0,0.022,0.0196,0.0151
25.0,25.0,65.0,0.0214,0.0189,0.0147
25.0,25.0,75.0,0.0212,0.0185,0.0145
25.0,25.0,85.0,0.021,0.0183,0.0144
25.0,25.0,95.0,0.0209,0.0182,0.0146
25.0,25.0,105.0,0.0208,0.0181,0.0146
25.0,25.0,115.0,0.0207,0.018,0.0146
25.0,25.0,125.0,0.0207,0.018,0.0146
25.0,25.0,135.0,0.0207,0.0179,0.0146
25.0,25.0,145.0,0.0206,0.0179,0.0145
25.0,35.0,45.0,0.0215,0.0186,0.0145
25.0,35.0,55.0,0.0208,0.0181,0.014
25.0,35.0,65.0,0.0206,0.0179,0.014
25.0,35.0,75.0,0.0206,0.0179,0.0142
25.0,35.0,85.0,0.0206,0.0178,0.0144
25.0,35.0,95.0,0.0206,0.0178,0.0145
25.0,35.0,105.0,0.0205,0.0178,0.0145
25.0,35.0,115.0,0.0205,0.0178,0.0145
25.0,35.0,125.0,0.0205,0.0178,0.0146
25.0,35.0,135.0,0.0205,0.0177,0.0146
25.0,35.0,145.0,0.0205,0.0177,0.0146
25.0,45.0,55.0,0.0204,0.0179,0.0141
25.0,45.0,65.0,0.0204,0.0178,0.0141
25.0,45.0,75.0,0.0205,0.0178,0.0144
25.0,45.0,85.0,0.0205,0.0177,0.0144
25.0,45.0,95.0,0.0205,0.0177,0.0145
25.0,45.0,105.0,0.0205,0.0177,0.0145
25.0,45.0,115.0,0.0205,0.0177,0.0145
25.0,45.0,125.0,0.0205,0.0177,0.0145
25.0,45.0,135.0,0.0205,0.0177,0.0145
25.0,45.0,145.0,0.0205,0.0177,0.0145
25.0,55.0,65.0,0.0205,0.0178,0.014
25.0,55.0,75.0,0.0206,0.0177,0.0143
25.0,55.0,85.0,0.0205,0.0177,0.0145
25.0,55.0,95.0,0.0205,0.0177,0.0145
