src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,-0.5765,-0.5373,-0.3954
5.0,5.0,25.0,-0.2363,-0.2055,-0.1418
5.0,5.0,35.0,-1.7499,-1.6275,-1.0663
5.0,5.0,45.0,0.5104,0.4841,0.3097
5.0,5.0,55.0,0.2995,0.2845,0.1841
5.0,5.0,65.0,0.2411,0.2294,0.1474
5.0,5.0,75.0,0.2146,0.2045,0.1304
5.0,5.0,85.0,0.2,0.1907,0.1221
5.0,5.0,95.0,0.1909,0.182,0.1171
5.0,5.0,105.0,0.1847,0.1762,0.1137
5.0,5.0,115.0,0.1804,0.1721,0.1106
5.0,5.0,125.0,0.1771,0.169,0.1087
5.0,5.0,135.0,0.1747,0.1667,0.1084
5.0,5.0,145.0,0.1728,0.1649,0.1075
5.0,15.0,25.0,-0.191,-0.1616,-0.1195
5.0,15.0,35.0,-3.1473,-2.9362,-1.9719
5.0,15.0,45.0,0.4172,0.3973,0.2587
5.0,15.0,55.0,0.2686,0.2558,0.1655
5.0,15.0,65.0,0.2242,0.2138,0.1378
5.0,15.0,75.0,0.2037,0.1944,0.125
5.0,15.0,85.0,0.1921,0.1834,0.1197
5.0,15.0,95.0,0.185,0.1765,0.115
5.0,15.0,105.0,0.1801,0.1719,0.1121
5.0,15.0,115.0,0.1766,0.1686,0.1094
5.0,15.0,125.0,0.174,0.1661,0.1077
5.0,15.0,135.0,0.172,0.1643,0.1076
5.0,15.0,145.0,0.1705,0.1628,0.107
5.0,25.0,35.0,0.2683,0.2657,0.1636
5.0,25.0,45.0,0.1991,0.1956,0.1186
5.0,25.0,55.0,0.1822,0.1767,0.1132
5.0,25.0,65.0,0.1747,0.1687,0.1089
5.0,25.0,75.0,0.1707,0.1644,0.1056
5.0,25.0,85.0,0.1683,0.1618,0.1041
5.0,25.0,95.0,0.1668,0.1601,0.1035
5.0,25.0,105.0,0.1657,0.1589,0.1033
5.0,25.0,115.0,0.165,0.158,0.1031
5.0,25.0,125.0,0.1643,0.1573,0.1035
5.0,25.0,135.0,0.1639,0.1568,0.1038
5.0,25.0,145.0,0.1635,0.1564,0.1036
5.0,35.0,45.0,0.1679,0.1637,0.1046
5.0,35.0,55.0,0.1655,0.1592,0.1023
5.0,35.0,65.0,0.164,0.1573,0.1005
5.0,35.0,75.0,0.1632,0.1564,0.1006
5.0,35.0,85.0,0.1627,0.1558,0.1008
5.0,35.0,95.0,0.1624,0.1554,0.1006
5.0,35.0,105.0,0.1622,0.1551,0.1014
5.0,35.0,115.0,0.1621,0.1549,0.1029
5.0,35.0,125.0,0.1619,0.1548,0.1032
5.0,35.0,135.0,0.1618,0.1546,0.1032
5.0,35.0,145.0,0.1618,0.1545,0.103
5.0,45.0,55.0,0.1638,0.1559,0.1026
5.0,45.0,65.0,0.1628,0.1552,0.0987
5.0,45.0,75.0,0.1622,0.1549,0.0987
5.0,45.0,85.0,0.162,0.1547,0.1002
5.0,45.0,95.0,0.1619,0.1545,0.1009
5.0,45.0,105.0,0.1618,0.1544,0.1018
5.0,45.0,115.0,0.1617,0.1543,0.1031
5.0,45.0,125.0,0.1616,0.1543,0.103
5.0,45.0,135.0,0.1615,0.1542,0.1032
5.0,45.0,145.0,0.1615,0.1542,0.1029
5.0,55.0,65.0,0.1619,0.1547,0.0993
5.0,55.0,75.0,0.1617,0.1545,0.0993
5.0,55.0,85.0,0.1616,0.1544,0.0999
5.0,55.0,95.0,0.1615,0.1543,0.1008
5.0,55.0,105.0,0.1615,0.1542,0.1021
5.0,55.0,115.0,0.1615,0.1542,0.1033
5.0,55.0,125.0,0.1614,0.1541,0.1032
5.0,55.0,135.0,0.1614,0.1541,0.1032
5.0,55.0,145.0,0.1614,0.1541,0.1029
5.0,65.0,75.0,0.1615,0.1544,0.098
5.0,65.0,85.0,0.1614,0.1543,0.0993
5.0,65.0,95.0,0.1615,0.1542,0.1007
5.0,65.0,105.0,0.1614,0.1541,0.1025
5.0,65.0,115.0,0.1615,0.1541,0.1031
5.0,65.0,125.0,0.1614,0.1541,0.1028
5.0,65.0,135.0,0.1613,0.1541,0.1031
5.0,65.0,145.0,0.1614,0.1541,0.1027
5.0,75.0,85.0,0.1614,0.1542,0.1001
5.0,75.0,95.0,0.1615,0.1541,0.1016
5.0,75.0,105.0,0.1614,0.1541,0.103
5.0,75.0,115.0,0.1615,0.1541,0.103
5.0,75.0,125.0,0.1614,0.1541,0.103
5.0,75.0,135.0,0.1613,0.154,0.1034
5.0,75.0,145.0,0.1614,0.154,0.1029
5.0,85.0,95.0,0.1615,0.1541,0.1022
5.0,85.0,105.0,0.1615,0.1541,0.1035
5.0,85.0,115.0,0.1615,0.154,0.1031
5.0,85.0,125.0,0.1614,0.154,0.1031
5.0,85.0,135.0,0.1613,0.154,0.1035
5.0,85.0,145.0,0.1614,0.154,0.1028
5.0,95.0,105.0,0.1614,0.154,0.1035
5.0,95.0,115.0,0.1615,0.154,0.1031
5.0,95.0,125.0,0.1613,0.154,0.1033
5.0,95.0,135.0,0.1613,0.154,0.1034
5.0,95.0,145.0,0.1613,0.154,0.1027
5.0,105.0,115.0,0.1615,0.154,0.103
