src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,0.4565,0.4054,0.294
5.0,5.0,25.0,-2.3176,-1.9875,-1.5738
5.0,5.0,35.0,-0.3987,-0.3393,-0.2652
5.0,5.0,45.0,-0.2885,-0.2486,-0.2013
5.0,5.0,55.0,-0.3206,-0.2741,-0.2091
5.0,5.0,65.0,-0.6201,-0.527,-0.3953
5.0,5.0,75.0,-5.4381,-4.6095,-3.4207
5.0,5.0,85.0,1.1501,0.9732,0.7074
5.0,5.0,95.0,0.6139,0.5192,0.3787
5.0,5.0,105.0,0.4573,0.3863,0.2757
5.0,5.0,115.0,0.3833,0.3237,0.2311
5.0,5.0,125.0,0.3407,0.2878,0.2071
5.0,5.0,135.0,0.3134,0.2646,0.1926
5.0,5.0,145.0,0.2945,0.2486,0.1832
5.0,15.0,25.0,-0.6019,-0.5083,-0.3821
5.0,15.0,35.0,-0.295,-0.2488,-0.1991
5.0,15.0,45.0,-0.2458,-0.211,-0.171
5.0,15.0,55.0,-0.287,-0.2447,-0.1813
5.0,15.0,65.0,-0.5566,-0.472,-0.3674
5.0,15.0,75.0,-3.701,-3.1314,-2.3432
5.0,15.0,85.0,1.2028,1.0164,0.7299
5.0,15.0,95.0,0.6192,0.5231,0.375
5.0,15.0,105.0,0.4577,0.3862,0.2774
5.0,15.0,115.0,0.3826,0.3229,0.2287
5.0,15.0,125.0,0.3398,0.2868,0.2046
5.0,15.0,135.0,0.3124,0.2637,0.1914
5.0,15.0,145.0,0.2936,0.2478,0.1823
5.0,25.0,35.0,-0.224,-0.1899,-0.1572
5.0,25.0,45.0,-0.2109,-0.1821,-0.1477
5.0,25.0,55.0,-0.2648,-0.2262,-0.1732
5.0,25.0,65.0,-0.5543,-0.4703,-0.3554
5.0,25.0,75.0,-6.5196,-5.517,-4.1093
5.0,25.0,85.0,1.0136,0.8564,0.6223
5.0,25.0,95.0,0.5636,0.4761,0.3423
5.0,25.0,105.0,0.4282,0.3613,0.2611
5.0,25.0,115.0,0.3634,0.3067,0.2206
5.0,25.0,125.0,0.326,0.2751,0.1998
5.0,25.0,135.0,0.3019,0.2548,0.1859
5.0,25.0,145.0,0.2852,0.2406,0.1769
5.0,35.0,45.0,-0.2056,-0.1816,-0.1525
5.0,35.0,55.0,-0.2848,-0.2452,-0.1893
5.0,35.0,65.0,-0.8038,-0.6841,-0.5079
5.0,35.0,75.0,2.1909,1.857,1.4051
5.0,35.0,85.0,0.6457,0.5461,0.4108
5.0,35.0,95.0,0.4409,0.3728,0.2767
5.0,35.0,105.0,0.362,0.3056,0.2271
5.0,35.0,115.0,0.3204,0.2705,0.2017
5.0,35.0,125.0,0.2951,0.2491,0.1857
5.0,35.0,135.0,0.2783,0.2349,0.1756
5.0,35.0,145.0,0.2665,0.2248,0.1695
5.0,45.0,55.0,-0.4175,-0.3525,-0.2518
5.0,45.0,65.0,20.8121,17.4789,12.9218
5.0,45.0,75.0,0.6218,0.5223,0.3654
5.0,45.0,85.0,0.3988,0.3351,0.2324
5.0,45.0,95.0,0.3268,0.2749,0.1925
5.0,45.0,105.0,0.2924,0.2459,0.1738
5.0,45.0,115.0,0.2721,0.229,0.1615
5.0,45.0,125.0,0.259,0.2181,0.1542
5.0,45.0,135.0,0.2501,0.2106,0.15
5.0,45.0,145.0,0.2436,0.2052,0.1479
5.0,55.0,65.0,0.4767,0.4002,0.3084
5.0,55.0,75.0,0.3165,0.2658,0.1947
5.0,55.0,85.0,0.2715,0.2281,0.1677
5.0,55.0,95.0,0.2515,0.2116,0.1517
5.0,55.0,105.0,0.2408,0.2025,0.1498
5.0,55.0,115.0,0.2339,0.1969,0.1473
5.0,55.0,125.0,0.2293,0.1931,0.1445
5.0,55.0,135.0,0.2261,0.1905,0.1425
5.0,55.0,145.0,0.2238,0.1885,0.1412
5.0,65.0,75.0,0.2457,0.2068,0.1501
