src,back_st,back_end,stdev,theo_err,mad_arr
80.0,100.0,102.0,0.0251,0.0164,0.0164
80.0,100.0,103.0,0.0252,0.015,0.0164
80.0,100.0,104.0,0.0252,0.0142,0.0167
80.0,100.0,105.0,0.025,0.0137,0.0169
80.0,100.0,106.0,0.0248,0.0134,0.0154
80.0,100.0,107.0,0.0249,0.0131,0.0145
80.0,100.0,108.0,0.0248,0.0129,0.0153
80.0,100.0,109.0,0.0247,0.0128,0.015
80.0,100.0,110.0,0.0247,0.0127,0.0155
80.0,100.0,111.0,0.0247,0.0126,0.0163
80.0,100.0,112.0,0.0246,0.0125,0.0159
80.0,100.0,113.0,0.0246,0.0124,0.0159
80.0,100.0,114.0,0.0247,0.0124,0.0164
80.0,100.0,115.0,0.0247,0.0123,0.0164
80.0,100.0,116.0,0.0247,0.0123,0.016
80.0,100.0,117.0,0.0247,0.0122,0.0162
80.0,100.0,118.0,0.0247,0.0122,0.0164
80.0,100.0,119.0,0.0247,0.0122,0.0164
80.0,100.0,120.0,0.0247,0.0122,0.0163
80.0,100.0,121.0,0.0247,0.0121,0.0164
80.0,100.0,122.0,0.0246,0.0121,0.0165
80.0,100.0,123.0,0.0247,0.0121,0.0163
80.0,100.0,124.0,0.0247,0.0121,0.0165
80.0,100.0,125.0,0.0248,0.012,0.0165
80.0,100.0,126.0,0.0248,0.012,0.0166
80.0,100.0,127.0,0.0248,0.012,0.0166
80.0,100.0,128.0,0.0248,0.012,0.0168
80.0,100.0,129.0,0.0248,0.012,0.0169
80.0,101.0,103.0,0.0249,0.0163,0.0169
80.0,101.0,104.0,0.025,0.0149,0.0171
80.0,101.0,105.0,0.0248,0.0141,0.0167
80.0,101.0,106.0,0.0246,0.0137,0.016
80.0,101.0,107.0,0.0248,0.0133,0.0147
80.0,101.0,108.0,0.0247,0.0131,0.0155
80.0,101.0,109.0,0.0246,0.0129,0.0151
80.0,101.0,110.0,0.0246,0.0128,0.0158
80.0,101.0,111.0,0.0246,0.0127,0.0157
80.0,101.0,112.0,0.0245,0.0126,0.016
80.0,101.0,113.0,0.0245,0.0125,0.0157
80.0,101.0,114.0,0.0246,0.0124,0.016
80.0,101.0,115.0,0.0246,0.0124,0.0154
80.0,101.0,116.0,0.0246,0.0123,0.0151
80.0,101.0,117.0,0.0246,0.0123,0.0153
80.0,101.0,118.0,0.0247,0.0122,0.0163
80.0,101.0,119.0,0.0247,0.0122,0.0162
80.0,101.0,120.0,0.0247,0.0122,0.0165
80.0,101.0,121.0,0.0246,0.0121,0.0162
80.0,101.0,122.0,0.0246,0.0121,0.0168
80.0,101.0,123.0,0.0246,0.0121,0.0165
80.0,101.0,124.0,0.0247,0.0121,0.0166
80.0,101.0,125.0,0.0247,0.0121,0.0166
80.0,101.0,126.0,0.0247,0.012,0.0164
80.0,101.0,127.0,0.0248,0.012,0.0168
80.0,101.0,128.0,0.0248,0.012,0.017
80.0,101.0,129.0,0.0248,0.012,0.017
80.0,102.0,104.0,0.0258,0.0162,0.0177
80.0,102.0,105.0,0.0254,0.0148,0.0164
80.0,102.0,106.0,0.025,0.0141,0.0158
80.0,102.0,107.0,0.0251,0.0136,0.0149
80.0,102.0,108.0,0.0249,0.0133,0.0153
80.0,102.0,109.0,0.0248,0.0131,0.0151
80.0,102.0,110.0,0.0248,0.0129,0.016
80.0,102.0,111.0,0.0248,0.0128,0.0167
80.0,102.0,112.0,0.0247,0.0126,0.0163
80.0,102.0,113.0,0.0246,0.0125,0.0168
80.0,102.0,114.0,0.0247,0.0125,0.016
80.0,102.0,115.0,0.0247,0.0124,0.0157
80.0,102.0,116.0,0.0247,0.0124,0.0154
80.0,102.0,117.0,0.0247,0.0123,0.0152
80.0,102.0,118.0,0.0247,0.0123,0.0164
80.0,102.0,119.0,0.0248,0.0122,0.0166
80.0,102.0,120.0,0.0248,0.0122,0.0165
80.0,102.0,121.0,0.0247,0.0122,0.0169
80.0,102.0,122.0,0.0247,0.0121,0.0168
80.0,102.0,123.0,0.0247,0.0121,0.0165
80.0,102.0,124.0,0.0247,0.0121,0.0165
80.0,102.0,125.0,0.0248,0.0121,0.017
80.0,102.0,126.0,0.0248,0.012,0.0169
80.0,102.0,127.0,0.0248,0.012,0.017
80.0,102.0,128.0,0.0249,0.012,0.017
80.0,102.0,129.0,0.0249,0.012,0.0169
80.0,103.0,105.0,0.0254,0.0161,0.0181
80.0,103.0,106.0,0.0249,0.0147,0.0153
80.0,103.0,107.0,0.0251,0.014,0.0155
80.0,103.0,108.0,0.0249,0.0136,0.0148
80.0,103.0,109.0,0.0247,0.0133,0.0156
80.0,103.0,110.0,0.0247,0.013,0.0155
80.0,103.0,111.0,0.0247,0.0129,0.0157
80.0,103.0,112.0,0.0246,0.0127,0.0164
80.0,103.0,113.0,0.0246,0.0126,0.0164
80.0,103.0,114.0,0.0247,0.0125,0.0157
80.0,103.0,115.0,0.0247,0.0125,0.0154
80.0,103.0,116.0,0.0247,0.0124,0.0159
80.0,103.0,117.0,0.0247,0.0123,0.016
80.0,103.0,118.0,0.0247,0.0123,0.0159
80.0,103.0,119.0,0.0248,0.0122,0.0165
80.0,103.0,120.0,0.0248,0.0122,0.0165
80.0,103.0,121.0,0.0247,0.0122,0.0166
80.0,103.0,122.0,0.0247,0.0121,0.0162
80.0,103.0,123.0,0.0247,0.0121,0.0165
80.0,103.0,124.0,0.0247,0.0121,0.0166
80.0,103.0,125.0,0.0248,0.0121,0.0164
80.0,103.0,126.0,0.0248,0.0121,0.0164
80.0,103.0,127.0,0.0249,0.012,0.0165
80.0,103.0,128.0,0.0249,0.012,0.0165
80.0,103.0,129.0,0.0249,0.012,0.0165
80.0,104.0,106.0,0.0249,0.016,0.0156
80.0,104.0,107.0,0.0251,0.0147,0.0143
80.0,104.0,108.0,0.0249,0.014,0.0134
80.0,104.0,109.0,0.0247,0.0135,0.0148
80.0,104.0,110.0,0.0247,0.0132,0.015
80.0,104.0,111.0,0.0247,0.013,0.0154
80.0,104.0,112.0,0.0246,0.0128,0.0157
80.0,104.0,113.0,0.0246,0.0127,0.0164
80.0,104.0,114.0,0.0247,0.0126,0.016
80.0,104.0,115.0,0.0247,0.0125,0.0152
80.0,104.0,116.0,0.0247,0.0124,0.016
80.0,104.0,117.0,0.0247,0.0124,0.0159
80.0,104.0,118.0,0.0247,0.0123,0.0158
80.0,104.0,119.0,0.0248,0.0123,0.0164
80.0,104.0,120.0,0.0248,0.0122,0.0163
80.0,104.0,121.0,0.0247,0.0122,0.0165
80.0,104.0,122.0,0.0247,0.0122,0.0162
80.0,104.0,123.0,0.0247,0.0121,0.0165
80.0,104.0,124.0,0.0247,0.0121,0.0166
80.0,104.0,125.0,0.0248,0.0121,0.0162
80.0,104.0,126.0,0.0248,0.0121,0.0165
80.0,104.0,127.0,0.0249,0.012,0.0168
80.0,104.0,128.0,0.0249,0.012,0.0169
80.0,104.0,129.0,0.0249,0.012,0.0165
80.0,105.0,107.0,0.0255,0.0159,0.0142
80.0,105.0,108.0,0.0251,0.0146,0.0135
80.0,105.0,109.0,0.0247,0.0139,0.0143
80.0,105.0,110.0,0.0248,0.0135,0.0146
80.0,105.0,111.0,0.0248,0.0132,0.0153
80.0,105.0,112.0,0.0246,0.013,0.0156
80.0,105.0,113.0,0.0246,0.0128,0.0158
80.0,105.0,114.0,0.0247,0.0127,0.0162
80.0,105.0,115.0,0.0247,0.0126,0.0151
80.0,105.0,116.0,0.0247,0.0125,0.0157
80.0,105.0,117.0,0.0248,0.0124,0.0155
80.0,105.0,118.0,0.0248,0.0124,0.0156
80.0,105.0,119.0,0.0248,0.0123,0.0159
80.0,105.0,120.0,0.0248,0.0123,0.016
80.0,105.0,121.0,0.0247,0.0122,0.0162
80.0,105.0,122.0,0.0247,0.0122,0.0161
80.0,105.0,123.0,0.0247,0.0122,0.0162
80.0,105.0,124.0,0.0248,0.0121,0.0163
80.0,105.0,125.0,0.0248,0.0121,0.0163
80.0,105.0,126.0,0.0248,0.0121,0.0167
80.0,105.0,127.0,0.0249,0.0121,0.017
80.0,105.0,128.0,0.0249,0.012,0.017
80.0,105.0,129.0,0.0249,0.012,0.0165
80.0,106.0,108.0,0.0254,0.0158,0.0142
80.0,106.0,109.0,0.0249,0.0146,0.0153
80.0,106.0,110.0,0.0249,0.0139,0.0154
80.0,106.0,111.0,0.0249,0.0135,0.0156
80.0,106.0,112.0,0.0247,0.0132,0.0166
80.0,106.0,113.0,0.0247,0.013,0.0173
80.0,106.0,114.0,0.0248,0.0128,0.0163
80.0,106.0,115.0,0.0248,0.0127,0.0161
80.0,106.0,116.0,0.0248,0.0126,0.016
80.0,106.0,117.0,0.0248,0.0125,0.0159
80.0,106.0,118.0,0.0248,0.0124,0.0159
80.0,106.0,119.0,0.0249,0.0123,0.0159
80.0,106.0,120.0,0.0249,0.0123,0.0163
80.0,106.0,121.0,0.0248,0.0123,0.0159
80.0,106.0,122.0,0.0247,0.0122,0.0163
80.0,106.0,123.0,0.0248,0.0122,0.0162
80.0,106.0,124.0,0.0248,0.0121,0.0167
80.0,106.0,125.0,0.0249,0.0121,0.0169
80.0,106.0,126.0,0.0249,0.0121,0.017
80.0,106.0,127.0,0.0249,0.0121,0.0167
80.0,106.0,128.0,0.025,0.0121,0.0169
80.0,106.0,129.0,0.025,0.012,0.0168
80.0,107.0,109.0,0.0248,0.0158,0.0157
80.0,107.0,110.0,0.0248,0.0145,0.0163
80.0,107.0,111.0,0.0248,0.0138,0.0171
80.0,107.0,112.0,0.0246,0.0134,0.0173
80.0,107.0,113.0,0.0246,0.0131,0.0161
80.0,107.0,114.0,0.0248,0.0129,0.0172
80.0,107.0,115.0,0.0247,0.0128,0.0161
80.0,107.0,116.0,0.0247,0.0126,0.0162
80.0,107.0,117.0,0.0248,0.0125,0.0158
80.0,107.0,118.0,0.0248,0.0125,0.0163
80.0,107.0,119.0,0.0248,0.0124,0.0159
80.0,107.0,120.0,0.0248,0.0123,0.0164
80.0,107.0,121.0,0.0248,0.0123,0.0166
80.0,107.0,122.0,0.0247,0.0122,0.0169
80.0,107.0,123.0,0.0247,0.0122,0.0169
80.0,107.0,124.0,0.0248,0.0122,0.0168
80.0,107.0,125.0,0.0249,0.0121,0.0171
80.0,107.0,126.0,0.0249,0.0121,0.0172
80.0,107.0,127.0,0.0249,0.0121,0.0169
80.0,107.0,128.0,0.0249,0.0121,0.0172
80.0,107.0,129.0,0.0249,0.012,0.0174
80.0,108.0,110.0,0.0249,0.0157,0.0173
80.0,108.0,111.0,0.0249,0.0145,0.0171
80.0,108.0,112.0,0.0247,0.0138,0.0176
80.0,108.0,113.0,0.0246,0.0134,0.0159
80.0,108.0,114.0,0.0248,0.0131,0.0172
80.0,108.0,115.0,0.0248,0.0129,0.0164
80.0,108.0,116.0,0.0248,0.0128,0.0164
80.0,108.0,117.0,0.0249,0.0126,0.0167
80.0,108.0,118.0,0.0249,0.0125,0.0165
80.0,108.0,119.0,0.0249,0.0125,0.0163
80.0,108.0,120.0,0.0249,0.0124,0.0169
80.0,108.0,121.0,0.0248,0.0123,0.0168
80.0,108.0,122.0,0.0247,0.0123,0.0167
80.0,108.0,123.0,0.0248,0.0122,0.0168
80.0,108.0,124.0,0.0248,0.0122,0.0171
80.0,108.0,125.0,0.0249,0.0122,0.0171
80.0,108.0,126.0,0.0249,0.0121,0.017
80.0,108.0,127.0,0.025,0.0121,0.0172
80.0,108.0,128.0,0.025,0.0121,0.0175
80.0,108.0,129.0,0.025,0.0121,0.0173
80.0,109.0,111.0,0.0253,0.0156,0.017
80.0,109.0,112.0,0.0249,0.0144,0.0155
80.0,109.0,113.0,0.0249,0.0138,0.0165
80.0,109.0,114.0,0.0251,0.0134,0.018
80.0,109.0,115.0,0.025,0.0131,0.0174
80.0,109.0,116.0,0.0249,0.0129,0.0167
80.0,109.0,117.0,0.025,0.0127,0.0171
80.0,109.0,118.0,0.025,0.0126,0.017
80.0,109.0,119.0,0.025,0.0125,0.017
80.0,109.0,120.0,0.025,0.0124,0.0174
80.0,109.0,121.0,0.0249,0.0124,0.0175
80.0,109.0,122.0,0.0248,0.0123,0.0177
80.0,109.0,123.0,0.0248,0.0123,0.0175
80.0,109.0,124.0,0.0249,0.0122,0.0172
80.0,109.0,125.0,0.025,0.0122,0.0171
80.0,109.0,126.0,0.025,0.0122,0.0178
80.0,109.0,127.0,0.025,0.0121,0.0178
80.0,109.0,128.0,0.025,0.0121,0.0179
80.0,109.0,129.0,0.025,0.0121,0.0175
80.0,110.0,112.0,0.0251,0.0156,0.0176
80.0,110.0,113.0,0.0249,0.0144,0.0169
80.0,110.0,114.0,0.0252,0.0137,0.0179
80.0,110.0,115.0,0.025,0.0133,0.0166
80.0,110.0,116.0,0.025,0.0131,0.017
80.0,110.0,117.0,0.025,0.0129,0.0174
80.0,110.0,118.0,0.025,0.0127,0.017
80.0,110.0,119.0,0.025,0.0126,0.017
80.0,110.0,120.0,0.025,0.0125,0.0167
80.0,110.0,121.0,0.0249,0.0124,0.0172
80.0,110.0,122.0,0.0248,0.0124,0.0168
80.0,110.0,123.0,0.0248,0.0123,0.0165
80.0,110.0,124.0,0.0249,0.0123,0.0167
80.0,110.0,125.0,0.025,0.0122,0.0172
80.0,110.0,126.0,0.025,0.0122,0.0176
80.0,110.0,127.0,0.025,0.0121,0.0178
80.0,110.0,128.0,0.0251,0.0121,0.0176
80.0,110.0,129.0,0.0251,0.0121,0.0175
80.0,111.0,113.0,0.0251,0.0155,0.0178
80.0,111.0,114.0,0.0254,0.0143,0.019
80.0,111.0,115.0,0.0251,0.0137,0.0175
80.0,111.0,116.0,0.025,0.0133,0.0182
80.0,111.0,117.0,0.0251,0.013,0.0172
80.0,111.0,118.0,0.0251,0.0128,0.0171
80.0,111.0,119.0,0.0251,0.0127,0.0174
80.0,111.0,120.0,0.025,0.0126,0.0162
80.0,111.0,121.0,0.0249,0.0125,0.0165
80.0,111.0,122.0,0.0248,0.0124,0.0164
80.0,111.0,123.0,0.0249,0.0123,0.0161
80.0,111.0,124.0,0.0249,0.0123,0.0162
80.0,111.0,125.0,0.025,0.0122,0.0171
80.0,111.0,126.0,0.025,0.0122,0.0171
80.0,111.0,127.0,0.0251,0.0122,0.0174
80.0,111.0,128.0,0.0251,0.0121,0.0176
80.0,111.0,129.0,0.0251,0.0121,0.0168
80.0,112.0,114.0,0.0259,0.0155,0.0197
80.0,112.0,115.0,0.0254,0.0143,0.0175
80.0,112.0,116.0,0.0252,0.0137,0.018
80.0,112.0,117.0,0.0253,0.0133,0.0173
80.0,112.0,118.0,0.0252,0.013,0.0175
80.0,112.0,119.0,0.0252,0.0128,0.0173
80.0,112.0,120.0,0.0251,0.0127,0.016
80.0,112.0,121.0,0.025,0.0126,0.0169
80.0,112.0,122.0,0.0249,0.0125,0.0169
80.0,112.0,123.0,0.0249,0.0124,0.0166
80.0,112.0,124.0,0.025,0.0123,0.0165
80.0,112.0,125.0,0.0251,0.0123,0.0171
80.0,112.0,126.0,0.025,0.0122,0.0173
80.0,112.0,127.0,0.0251,0.0122,0.0176
80.0,112.0,128.0,0.0251,0.0122,0.0177
80.0,112.0,129.0,0.0251,0.0121,0.0177
80.0,113.0,115.0,0.0255,0.0154,0.0158
80.0,113.0,116.0,0.0253,0.0143,0.0172
80.0,113.0,117.0,0.0254,0.0136,0.017
80.0,113.0,118.0,0.0253,0.0133,0.0174
80.0,113.0,119.0,0.0252,0.013,0.0172
80.0,113.0,120.0,0.0252,0.0128,0.0159
80.0,113.0,121.0,0.025,0.0127,0.017
80.0,113.0,122.0,0.0249,0.0126,0.0174
80.0,113.0,123.0,0.0249,0.0125,0.0169
80.0,113.0,124.0,0.025,0.0124,0.0171
80.0,113.0,125.0,0.0251,0.0123,0.0171
80.0,113.0,126.0,0.0251,0.0123,0.0172
80.0,113.0,127.0,0.0251,0.0122,0.0179
80.0,113.0,128.0,0.0252,0.0122,0.0178
80.0,113.0,129.0,0.0251,0.0122,0.017
80.0,114.0,116.0,0.0252,0.0154,0.0172
80.0,114.0,117.0,0.0253,0.0142,0.0164
80.0,114.0,118.0,0.0252,0.0136,0.017
80.0,114.0,119.0,0.0252,0.0132,0.016
80.0,114.0,120.0,0.0251,0.013,0.0163
80.0,114.0,121.0,0.025,0.0128,0.0171
80.0,114.0,122.0,0.0248,0.0127,0.0172
80.0,114.0,123.0,0.0249,0.0125,0.0169
80.0,114.0,124.0,0.0249,0.0125,0.0163
80.0,114.0,125.0,0.025,0.0124,0.0175
80.0,114.0,126.0,0.025,0.0123,0.0169
80.0,114.0,127.0,0.0251,0.0123,0.0177
80.0,114.0,128.0,0.0251,0.0122,0.0179
80.0,114.0,129.0,0.0251,0.0122,0.0173
80.0,115.0,117.0,0.0257,0.0153,0.0177
80.0,115.0,118.0,0.0254,0.0142,0.0164
80.0,115.0,119.0,0.0253,0.0136,0.0165
80.0,115.0,120.0,0.0252,0.0132,0.0169
80.0,115.0,121.0,0.0251,0.013,0.0178
80.0,115.0,122.0,0.0249,0.0128,0.0179
80.0,115.0,123.0,0.0249,0.0126,0.0171
80.0,115.0,124.0,0.025,0.0125,0.017
80.0,115.0,125.0,0.0251,0.0124,0.0173
80.0,115.0,126.0,0.0251,0.0124,0.0172
80.0,115.0,127.0,0.0252,0.0123,0.018
80.0,115.0,128.0,0.0252,0.0123,0.0178
80.0,115.0,129.0,0.0252,0.0122,0.0177
80.0,116.0,118.0,0.0256,0.0153,0.0159
80.0,116.0,119.0,0.0255,0.0141,0.018
80.0,116.0,120.0,0.0253,0.0136,0.0173
80.0,116.0,121.0,0.0251,0.0132,0.0186
