src,back_st,back_end,stdev,theo_err,mad_arr
30.0,50.0,52.0,0.0287,0.0257,0.0197
30.0,50.0,53.0,0.029,0.0249,0.0195
30.0,50.0,54.0,0.0289,0.0245,0.0201
30.0,50.0,55.0,0.0288,0.0242,0.0202
30.0,50.0,56.0,0.0289,0.0241,0.0195
30.0,50.0,57.0,0.0288,0.0239,0.0198
30.0,50.0,58.0,0.0288,0.0238,0.0203
30.0,50.0,59.0,0.0287,0.0237,0.0202
30.0,50.0,60.0,0.0286,0.0237,0.0199
30.0,50.0,61.0,0.0285,0.0236,0.0202
30.0,50.0,62.0,0.0285,0.0236,0.0202
30.0,50.0,63.0,0.0285,0.0235,0.0202
30.0,50.0,64.0,0.0284,0.0235,0.0204
30.0,50.0,65.0,0.0284,0.0235,0.0201
30.0,50.0,66.0,0.0284,0.0234,0.0198
30.0,50.0,67.0,0.0284,0.0234,0.0197
30.0,50.0,68.0,0.0285,0.0234,0.0198
30.0,50.0,69.0,0.0284,0.0234,0.0199
30.0,50.0,70.0,0.0284,0.0234,0.0201
30.0,50.0,71.0,0.0284,0.0234,0.02
30.0,50.0,72.0,0.0284,0.0233,0.0199
30.0,50.0,73.0,0.0285,0.0233,0.0199
30.0,50.0,74.0,0.0285,0.0233,0.02
30.0,50.0,75.0,0.0284,0.0233,0.0198
30.0,50.0,76.0,0.0284,0.0233,0.0197
30.0,50.0,77.0,0.0284,0.0233,0.0194
30.0,50.0,78.0,0.0285,0.0233,0.0195
30.0,50.0,79.0,0.0285,0.0233,0.0194
30.0,50.0,80.0,0.0285,0.0233,0.0196
30.0,50.0,81.0,0.0285,0.0232,0.0196
30.0,50.0,82.0,0.0286,0.0232,0.0193
30.0,50.0,83.0,0.0286,0.0232,0.0191
30.0,50.0,84.0,0.0286,0.0232,0.019
30.0,50.0,85.0,0.0286,0.0232,0.0191
30.0,50.0,86.0,0.0286,0.0232,0.0193
30.0,50.0,87.0,0.0286,0.0232,0.0192
30.0,50.0,88.0,0.0286,0.0232,0.019
30.0,50.0,89.0,0.0287,0.0232,0.0192
30.0,50.0,90.0,0.0287,0.0232,0.0193
30.0,50.0,91.0,0.0287,0.0232,0.0194
30.0,50.0,92.0,0.0288,0.0232,0.0193
30.0,50.0,93.0,0.0288,0.0232,0.0191
30.0,50.0,94.0,0.0288,0.0232,0.0192
30.0,50.0,95.0,0.0288,0.0232,0.0191
30.0,50.0,96.0,0.0288,0.0232,0.019
30.0,50.0,97.0,0.0288,0.0232,0.0189
30.0,50.0,98.0,0.0288,0.0232,0.0189
30.0,50.0,99.0,0.0288,0.0232,0.0189
30.0,51.0,53.0,0.0293,0.0257,0.0181
30.0,51.0,54.0,0.0291,0.0249,0.0209
30.0,51.0,55.0,0.0289,0.0245,0.0191
30.0,51.0,56.0,0.029,0.0242,0.0193
30.0,51.0,57.0,0.0289,0.024,0.02
30.0,51.0,58.0,0.0289,0.0239,0.0201
30.0,51.0,59.0,0.0287,0.0238,0.0199
30.0,51.0,60.0,0.0287,0.0237,0.0198
30.0,51.0,61.0,0.0286,0.0236,0.02
30.0,51.0,62.0,0.0285,0.0236,0.0202
30.0,51.0,63.0,0.0285,0.0235,0.0201
30.0,51.0,64.0,0.0285,0.0235,0.0203
30.0,51.0,65.0,0.0284,0.0235,0.0202
30.0,51.0,66.0,0.0284,0.0235,0.0196
30.0,51.0,67.0,0.0284,0.0234,0.0197
30.0,51.0,68.0,0.0285,0.0234,0.0196
30.0,51.0,69.0,0.0285,0.0234,0.0198
30.0,51.0,70.0,0.0284,0.0234,0.0201
30.0,51.0,71.0,0.0284,0.0234,0.0201
30.0,51.0,72.0,0.0284,0.0233,0.02
30.0,51.0,73.0,0.0285,0.0233,0.0201
30.0,51.0,74.0,0.0285,0.0233,0.0199
30.0,51.0,75.0,0.0284,0.0233,0.0197
30.0,51.0,76.0,0.0285,0.0233,0.0198
30.0,51.0,77.0,0.0285,0.0233,0.0194
30.0,51.0,78.0,0.0285,0.0233,0.0195
30.0,51.0,79.0,0.0285,0.0233,0.0194
30.0,51.0,80.0,0.0285,0.0232,0.0195
30.0,51.0,81.0,0.0286,0.0232,0.0195
30.0,51.0,82.0,0.0286,0.0232,0.0193
30.0,51.0,83.0,0.0286,0.0232,0.0192
30.0,51.0,84.0,0.0286,0.0232,0.0191
30.0,51.0,85.0,0.0286,0.0232,0.0191
30.0,51.0,86.0,0.0286,0.0232,0.0193
30.0,51.0,87.0,0.0286,0.0232,0.0192
30.0,51.0,88.0,0.0286,0.0232,0.019
30.0,51.0,89.0,0.0287,0.0232,0.0192
30.0,51.0,90.0,0.0287,0.0232,0.0193
30.0,51.0,91.0,0.0288,0.0232,0.0194
30.0,51.0,92.0,0.0288,0.0232,0.0193
30.0,51.0,93.0,0.0288,0.0232,0.0191
30.0,51.0,94.0,0.0288,0.0232,0.0192
30.0,51.0,95.0,0.0289,0.0232,0.0191
30.0,51.0,96.0,0.0289,0.0232,0.019
30.0,51.0,97.0,0.0289,0.0232,0.019
30.0,51.0,98.0,0.0288,0.0232,0.0189
30.0,51.0,99.0,0.0288,0.0231,0.0188
30.0,52.0,54.0,0.0299,0.0256,0.0206
30.0,52.0,55.0,0.0294,0.0248,0.0201
30.0,52.0,56.0,0.0294,0.0244,0.0202
30.0,52.0,57.0,0.0291,0.0241,0.0194
30.0,52.0,58.0,0.0291,0.024,0.0193
30.0,52.0,59.0,0.0289,0.0238,0.0197
30.0,52.0,60.0,0.0288,0.0237,0.0197
30.0,52.0,61.0,0.0287,0.0237,0.0199
30.0,52.0,62.0,0.0286,0.0236,0.0198
30.0,52.0,63.0,0.0286,0.0236,0.0199
30.0,52.0,64.0,0.0285,0.0235,0.0205
30.0,52.0,65.0,0.0285,0.0235,0.0199
30.0,52.0,66.0,0.0284,0.0235,0.0193
30.0,52.0,67.0,0.0285,0.0234,0.0199
30.0,52.0,68.0,0.0286,0.0234,0.0201
30.0,52.0,69.0,0.0285,0.0234,0.0199
30.0,52.0,70.0,0.0285,0.0234,0.02
30.0,52.0,71.0,0.0285,0.0234,0.02
30.0,52.0,72.0,0.0285,0.0233,0.0198
30.0,52.0,73.0,0.0285,0.0233,0.0201
30.0,52.0,74.0,0.0285,0.0233,0.0199
30.0,52.0,75.0,0.0285,0.0233,0.02
30.0,52.0,76.0,0.0285,0.0233,0.0198
30.0,52.0,77.0,0.0285,0.0233,0.0194
30.0,52.0,78.0,0.0285,0.0233,0.0194
30.0,52.0,79.0,0.0285,0.0233,0.0195
30.0,52.0,80.0,0.0285,0.0232,0.0195
30.0,52.0,81.0,0.0286,0.0232,0.0194
30.0,52.0,82.0,0.0286,0.0232,0.0194
30.0,52.0,83.0,0.0286,0.0232,0.0193
30.0,52.0,84.0,0.0286,0.0232,0.0194
30.0,52.0,85.0,0.0286,0.0232,0.0194
30.0,52.0,86.0,0.0286,0.0232,0.0195
30.0,52.0,87.0,0.0286,0.0232,0.0194
30.0,52.0,88.0,0.0287,0.0232,0.0192
30.0,52.0,89.0,0.0287,0.0232,0.0194
30.0,52.0,90.0,0.0287,0.0232,0.0194
30.0,52.0,91.0,0.0288,0.0232,0.0194
30.0,52.0,92.0,0.0288,0.0232,0.0194
30.0,52.0,93.0,0.0288,0.0232,0.0193
30.0,52.0,94.0,0.0289,0.0232,0.0193
30.0,52.0,95.0,0.0289,0.0232,0.0191
30.0,52.0,96.0,0.0289,0.0232,0.0189
30.0,52.0,97.0,0.0289,0.0232,0.019
30.0,52.0,98.0,0.0289,0.0231,0.0189
30.0,52.0,99.0,0.0289,0.0231,0.0188
30.0,53.0,55.0,0.0295,0.0255,0.02
30.0,53.0,56.0,0.0295,0.0247,0.0199
30.0,53.0,57.0,0.0292,0.0243,0.0193
30.0,53.0,58.0,0.0291,0.0241,0.0191
30.0,53.0,59.0,0.0289,0.0239,0.02
30.0,53.0,60.0,0.0288,0.0238,0.02
