src,back_st,back_end,stdev,theo_err,mad_arr
50.0,70.0,72.0,0.0191,0.0183,0.0129
50.0,70.0,73.0,0.0183,0.0167,0.0125
50.0,70.0,74.0,0.0176,0.0158,0.0113
50.0,70.0,75.0,0.0172,0.0152,0.0122
50.0,70.0,76.0,0.0172,0.0148,0.0114
50.0,70.0,77.0,0.0171,0.0145,0.0101
50.0,70.0,78.0,0.0169,0.0143,0.0101
50.0,70.0,79.0,0.0167,0.0141,0.0098
50.0,70.0,80.0,0.0165,0.014,0.0102
50.0,70.0,81.0,0.0165,0.0139,0.01
50.0,70.0,82.0,0.0165,0.0138,0.01
50.0,70.0,83.0,0.0165,0.0137,0.01
50.0,70.0,84.0,0.0164,0.0136,0.0102
50.0,70.0,85.0,0.0163,0.0136,0.0103
50.0,70.0,86.0,0.0163,0.0135,0.0099
50.0,70.0,87.0,0.0162,0.0135,0.0098
50.0,70.0,88.0,0.0161,0.0134,0.0098
50.0,70.0,89.0,0.0161,0.0134,0.0098
50.0,71.0,73.0,0.0188,0.0177,0.0125
50.0,71.0,74.0,0.0179,0.0162,0.0121
50.0,71.0,75.0,0.0174,0.0154,0.012
50.0,71.0,76.0,0.0173,0.0149,0.0111
50.0,71.0,77.0,0.0172,0.0146,0.0107
50.0,71.0,78.0,0.017,0.0143,0.0101
50.0,71.0,79.0,0.0167,0.0142,0.0097
50.0,71.0,80.0,0.0165,0.014,0.0102
50.0,71.0,81.0,0.0165,0.0139,0.0101
50.0,71.0,82.0,0.0165,0.0138,0.01
50.0,71.0,83.0,0.0165,0.0137,0.0101
50.0,71.0,84.0,0.0164,0.0136,0.01
50.0,71.0,85.0,0.0163,0.0135,0.01
50.0,71.0,86.0,0.0163,0.0135,0.0099
50.0,71.0,87.0,0.0162,0.0134,0.0096
50.0,71.0,88.0,0.0161,0.0134,0.0096
50.0,71.0,89.0,0.0161,0.0134,0.0098
50.0,72.0,74.0,0.0187,0.0172,0.0132
50.0,72.0,75.0,0.0178,0.0159,0.0125
50.0,72.0,76.0,0.0176,0.0152,0.0115
50.0,72.0,77.0,0.0174,0.0147,0.0104
50.0,72.0,78.0,0.0172,0.0144,0.0099
50.0,72.0,79.0,0.0168,0.0142,0.0093
50.0,72.0,80.0,0.0166,0.014,0.0103
50.0,72.0,81.0,0.0166,0.0139,0.0101
50.0,72.0,82.0,0.0166,0.0138,0.0096
50.0,72.0,83.0,0.0166,0.0137,0.0096
50.0,72.0,84.0,0.0164,0.0136,0.0102
50.0,72.0,85.0,0.0163,0.0135,0.0101
50.0,72.0,86.0,0.0163,0.0135,0.0101
50.0,72.0,87.0,0.0162,0.0134,0.01
50.0,72.0,88.0,0.0161,0.0134,0.0097
50.0,72.0,89.0,0.0161,0.0133,0.0097
50.0,73.0,75.0,0.0179,0.0168,0.0123
50.0,73.0,76.0,0.0177,0.0156,0.0111
50.0,73.0,77.0,0.0175,0.0149,0.0101
50.0,73.0,78.0,0.0172,0.0145,0.0105
50.0,73.0,79.0,0.0168,0.0143,0.0095
50.0,73.0,80.0,0.0166,0.0141,0.0094
50.0,73.0,81.0,0.0166,0.0139,0.0095
50.0,73.0,82.0,0.0166,0.0138,0.0092
50.0,73.0,83.0,0.0165,0.0137,0.0094
50.0,73.0,84.0,0.0164,0.0136,0.0097
50.0,73.0,85.0,0.0163,0.0135,0.0096
50.0,73.0,86.0,0.0163,0.0135,0.0099
50.0,73.0,87.0,0.0162,0.0134,0.0095
50.0,73.0,88.0,0.0161,0.0134,0.0094
50.0,73.0,89.0,0.0161,0.0133,0.0094
50.0,74.0,76.0,0.0183,0.0164,0.0111
50.0,74.0,77.0,0.018,0.0154,0.011
50.0,74.0,78.0,0.0176,0.0148,0.0108
50.0,74.0,79.0,0.017,0.0144,0.0104
50.0,74.0,80.0,0.0168,0.0141,0.0099
50.0,74.0,81.0,0.0167,0.014,0.0097
50.0,74.0,82.0,0.0167,0.0138,0.0095
50.0,74.0,83.0,0.0166,0.0137,0.0093
50.0,74.0,84.0,0.0165,0.0136,0.0097
50.0,74.0,85.0,0.0164,0.0135,0.0098
50.0,74.0,86.0,0.0164,0.0135,0.0097
50.0,74.0,87.0,0.0162,0.0134,0.0099
50.0,74.0,88.0,0.0162,0.0134,0.0097
